Species	RefSeq ID	Name
Pseudomonas aeruginosa	GCF_033393195.1	ASM3339319v1
Escherichia coli	GCF_016404485.2	ASM1640448v2
Enterococcus faecalis	GCF_030517475.1	ASM3051747v1
Escherichia coli	GCF_016776285.1	ASM1677628v1
Pseudomonas aeruginosa	GCF_015697665.1	ASM1569766v1
Escherichia coli	GCF_013167575.1	ASM1316757v1
Salmonella enterica	GCF_029814235.1	ASM2981423v1
Escherichia coli	GCF_016904335.1	ASM1690433v1
Staphylococcus aureus	GCF_037219465.1	BSN102-2_Contigs
Salmonella enterica	GCF_037888835.1	ASM3788883v1
Escherichia coli	GCF_020526765.2	ASM2052676v2
Escherichia coli	GCF_020149645.1	ASM2014964v1
Pseudomonas aeruginosa	GCF_001594325.2	ASM159432v2
Escherichia coli	GCF_007990655.1	ASM799065v1
Escherichia coli	GCF_020883515.1	ASM2088351v1
Bacillus subtilis	GCF_004119535.1	ASM411953v1
Escherichia coli	GCF_029223605.1	ASM2922360v1
Escherichia coli	GCF_039679135.1	ASM3967913v1
Escherichia coli	GCF_037094585.1	ASM3709458v1
Escherichia coli	GCF_027944935.1	ASM2794493v1
Staphylococcus aureus	GCF_024741675.1	ASM2474167v1
Escherichia coli	GCF_032164495.1	ASM3216449v1
Escherichia coli	GCF_019551835.1	ASM1955183v1
Staphylococcus aureus	GCF_021172945.1	ASM2117294v1
Salmonella enterica	GCF_037844235.1	ASM3784423v1
Pseudomonas aeruginosa	GCF_001547955.1	ASM154795v1
Escherichia coli	GCF_030012765.1	ASM3001276v1
Salmonella enterica	GCF_029692025.1	ASM2969202v1
Salmonella enterica	GCF_013416235.1	ASM1341623v1
Salmonella enterica	GCF_004792455.1	ASM479245v1
Escherichia coli	GCF_013167975.1	ASM1316797v1
Bacillus subtilis	GCF_003665295.1	ASM366529v1
Escherichia coli	GCF_035666355.1	ASM3566635v1
Escherichia coli	GCF_037565025.1	ASM3756502v1
Salmonella enterica	GCF_013376935.1	ASM1337693v1
Bacillus subtilis	GCF_006088795.1	ASM608879v1
Enterococcus faecalis	GCF_030376825.1	ASM3037682v1
Salmonella enterica	GCF_003718135.1	ASM371813v1
Salmonella enterica	GCF_000027025.1	ASM2702v1
Escherichia coli	GCF_030285585.1	ASM3028558v1
Escherichia coli	GCF_002899495.1	ASM289949v1
Escherichia coli	GCF_001735705.1	ASM173570v1
Salmonella enterica	GCF_029592105.1	ASM2959210v1
Escherichia coli	GCF_021496445.1	ASM2149644v1
Salmonella enterica	GCF_031021005.1	ASM3102100v1
Escherichia coli	GCF_001888075.1	ASM188807v1
Pseudomonas aeruginosa	GCF_014490645.1	ASM1449064v1
Escherichia coli	GCF_025426175.1	ASM2542617v1
Staphylococcus aureus	GCF_022226995.1	ASM2222699v1
Escherichia coli	GCF_019426265.1	ASM1942626v1
Salmonella enterica	GCF_015052785.1	ASM1505278v1
Pseudomonas aeruginosa	GCF_026625905.1	ASM2662590v1
Staphylococcus aureus	GCF_003354925.1	ASM335492v1
Salmonella enterica	GCF_000750455.1	ASM75045v1
Escherichia coli	GCF_904866495.1	MSB1_6C
Salmonella enterica	GCF_001409195.1	C2346
Escherichia coli	GCF_004564035.1	ASM456403v1
Escherichia coli	GCF_019428565.1	ASM1942856v1
Salmonella enterica	GCF_000626695.2	ASM62669v2
Escherichia coli	GCF_023612455.1	ASM2361245v1
Salmonella enterica	GCF_004354225.1	ASM435422v1
Staphylococcus aureus	GCF_009739755.1	ASM973975v1
Staphylococcus aureus	GCF_020388925.1	ASM2038892v1
Escherichia coli	GCF_019443605.1	ASM1944360v1
Escherichia coli	GCF_018966845.1	ASM1896684v1
Staphylococcus aureus	GCF_038430115.1	ASM3843011v1
Enterococcus faecalis	GCF_029167565.1	ASM2916756v1
Pseudomonas aeruginosa	GCF_031211485.1	ASM3121148v1
Salmonella enterica	GCF_009648795.1	ASM964879v1
Salmonella enterica	GCF_016454325.1	ASM1645432v1
Escherichia coli	GCF_016889085.1	ASM1688908v1
Pseudomonas aeruginosa	GCF_018279265.1	ASM1827926v1
